# V1	V2 
6221808 5579762
6245078 5571658

5466544 6398522
5494892 6398178
5500882 6389244
5503044 6274974
5510332 6249752
5529086 6226392
5535142 6185054
5560910 6114652
5579180 6074022
5592078 6073948
5607764 6060394
5632582 5996284
5642274 5962336
5648564 5953092
5682002 5915656
5685666 5848800
5758284 5811460
5769494 5796576
5814380 5744926
5914024 5719580
5916174 5704154
5930728 5684998
5958350 5670046
6008908 5669682
6023158 5641284
6025246 5637146
6070770 5625448
6139132 5615990
6149128 5606468
6201750 5599204
6294558 5589954
6318614 5587126
6340804 5574332

5479060 6323906
5493464 6293284
5499438 6235424
5511298 6183474
5550030 6101710
5584136 6095704
5586938 6055862
5597842 6035596
5614492 6032278
5631248 5997120
5641868 5986896
5676934 5938752
5680326 5925988
5689578 5905896
5734814 5859216
5740846 5802592
5826118 5754532
5923466 5720766
5928748 5717000
5975254 5660196
5992186 5638164
5992788 5600498
6162178 5578838
6248430 5576284

5475118 6435982
5483672 6360602
5488830 6325710
5497512 6324620
5507240 6308316
5513970 6241060
5520534 6224638
5526728 6217714
5542800 6104526
5552074 6100120
5569424 6096892
5591314 6073528
5599858 6034512
5614934 6032642
5621298 6014138
5666174 5925372
5691826 5916612
5701216 5911134
5709314 5897524
5719456 5886088
5752630 5818508
5784840 5817870
5797122 5811024
5804720 5785720
5844584 5756382
5850902 5750520
5885502 5749016
5915900 5715688
5922496 5676638
5979614 5669404
6045820 5642966
6076674 5623188
6106024 5607856
6149702 5582174
6219284 5576156
6261486 5573980

5459832 6408776
5469216 6319674
5479890 6306962
5494110 6295862
5517946 6225578
5547424 6191008
5562170 6086730
5577384 6051336
5594298 6025474
5600858 6023876
5625786 6002974
5644394 5930874
5700520 5928518
5723406 5896046
5748694 5875660
5753326 5856656
5763352 5809096
5778430 5804910
5821536 5797864
5822536 5794462
5842722 5757820
5844752 5745514
5869550 5733106
5876388 5730590
5890714 5711660
5969512 5687410
6001494 5668310
6022810 5659440
6056304 5641308
6091630 5641006
6102978 5634714
6109212 5611328
6119456 5603826
6185404 5598770
6217316 5597634
6272906 5578808
6295572 5572830
6343222 5568738

5484310 6379042
5486138 6360170
5486992 6321300
5496824 6219490
5559852 6130070
5572182 6079580
5580334 6029538
5613274 5991612
5649176 5948568
5669118 5919590
5742390 5868550
5746634 5822238
5770774 5805736
5788306 5800650
5819532 5776328
5831498 5742624
5913036 5740578
5924776 5721282
5963520 5692374
5967316 5674742
6014172 5664652
6034278 5641400
6068876 5627842
6089892 5621082
6119434 5618610
6120534 5605902
6188936 5589360
6257844 5579294
6349392 5565004

5491082 6386524
5493906 6343586
5497314 6292866
5513470 6213936
5531342 6151586
5531430 6140404
5562348 6068212
5577260 6061380
5589900 6020722
5636914 6008154
5640672 5992244
5674446 5959134
5692866 5946984
5701910 5913732
5714692 5898344
5727630 5831260
5782382 5822456
5813058 5805122
5814258 5797414
5822176 5782362
5829800 5780682
5852744 5759450
5856840 5729988
5892878 5694074
5950690 5688888
5967508 5682574
5994048 5668698
6042838 5664070
6047582 5636692
6091042 5632098
6129292 5614932
6155284 5612942
6197560 5558300

5465448 6446206
5489140 6341470
5501118 6254536
5504958 6161898
5537060 6153046
5553206 6124878
5585110 6050368
5595628 6024648
5606686 5992270
5621218 5990642
5627294 5989568
5639182 5959810
5666496 5937446
5692382 5896438
5737860 5862214
5754342 5857330
5764424 5830622
5787838 5812434
5806778 5798016
5867764 5727364
5927634 5712026
5933016 5694848
5970010 5671398
6020376 5669296
6039170 5628094
6100452 5615482
6169532 5608282
6185456 5607208
6222472 5592528
6229510 5579186

5482536 6484438
5486382 6383442
5494888 6375004
5498638 6366008
5505878 6302736
5507980 6266538
5519780 6221492
5533436 6189274
5544996 6176668
5547756 6120880
5573564 6065846
5590212 6055956
5592864 6030194
5599438 6018218
5653444 5937214
5682358 5934082
5694082 5903272
5728906 5854022
5753912 5843180
5754612 5843072
5776162 5842502
5785916 5832296
5801550 5777502
5841206 5755574
5873810 5720266
5939594 5704020
5970404 5703370
5971668 5669228
5986858 5641268
6054778 5640784
6071500 5599518
6206094 5587078
6211126 5578264
6363800 5578044
6386942 5566400

5473900 6306782
5492668 6290774
5514266 6255358
5525906 6238542
5531872 6222688
5536516 6182360
5544354 6159038
5550416 6127194
5569964 6095024
5577066 6049856
5605162 6043336
5613238 5988306
5632244 5983986
5662582 5972414
5681626 5965748
5693864 5879098
5733868 5838766
5748158 5828796
5776908 5827862
5783094 5822980
5808916 5793698
5809664 5734706
5863222 5712246
5927686 5673136
5946256 5671578
5970828 5657994
6025730 5651436
6057090 5629444
6154010 5616490
6206366 5609928
6217848 5607660
6220852 5567010
6305566 5553868

5465582 6334692
5514064 6298536
5516134 6291048
5517348 6246566
5519528 6204940
5544126 6146500
5551202 6137672
5553666 6098906
5577814 6050592
5591588 6028120
5611218 5987740
5642512 5943294
5671352 5934848
5687966 5920742
5702130 5913216
5710238 5879108
5721414 5849820
5785902 5811580
5807766 5781618
5828404 5768192
5857666 5740376
5890242 5739180
5905764 5709286
5929448 5694686
5958946 5678406
5984364 5678398
6038550 5658558
6041636 5626112
